Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.749368,10870,1642435550,756186011,,9284.0,8288.0,8772.0,9432.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7493854,10871,1642435550,766211636,,9320.0,8304.0,8704.0,9448.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749395,10872,1642435550,776202365,,9256.0,8256.0,8692.0,9420.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7494268,10873,1642435550,786236428,,9272.0,8320.0,8724.0,9392.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7494488,10874,1642435550,796205959,,9224.0,8288.0,8724.0,9372.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7494605,10875,1642435550,806334136,,9260.0,8336.0,8720.0,9388.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749487,10876,1642435550,816201167,,9292.0,8304.0,8692.0,9408.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7495003,10877,1642435550,826240907,,9324.0,8356.0,8700.0,9440.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7495127,10878,1642435550,836200855,,9264.0,8308.0,8712.0,9424.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7495332,10879,1642435550,846197834,,9256.0,8332.0,8772.0,9404.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7495549,10880,1642435550,856405125,,9192.0,8316.0,8784.0,9444.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749577,10881,1642435550,866233928,,9200.0,8280.0,8824.0,9412.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7495992,10882,1642435550,876225698,,9212.0,8344.0,8792.0,9416.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749624,10883,1642435550,886277105,,9256.0,8348.0,8748.0,9428.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749644,10884,1642435550,896228667,,9216.0,8380.0,8776.0,9352.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7496805,10885,1642435550,906435282,,9220.0,8332.0,8772.0,9364.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7497106,10886,1642435550,916274761,,9216.0,8300.0,8752.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.749725,10887,1642435550,926265021,,9296.0,8316.0,8740.0,9360.0,0.0,0.0,"(0.0, 0.0)",False,False
